2 3 1  
612 2 1 duplicate
613 3 0 duplicate
613 3 1 duplicate
614 0 0 duplicate
614 0 1 duplicate
615 2 0 duplicate
615 1 1 duplicate
616 1 0 duplicate
616 2 1 duplicate
617 3 0 duplicate
617 3 1 duplicate
618 0 0 duplicate
618 0 1 duplicate
619 2 0 duplicate
619 1 1 duplicate
620 1 0 duplicate
620 2 1 duplicate
621 3 0 duplicate
621 3 1 duplicate
622 0 0 duplicate
622 0 1 duplicate
623 2 0 duplicate
623 1 1 duplicate
624 1 0 duplicate
624 2 1 duplicate
625 3 0 duplicate
625 3 1 duplicate
626 0 0 duplicate
626 0 1 duplicate
627 2 0 duplicate
627 1 1 duplicate
628 1 0 duplicate
628 2 1 duplicate
629 3 0 duplicate
629 3 1 duplicate
630 0 0 duplicate
630 0 1 duplicate
631 2 0 duplicate
631 1 1 duplicate
632 1 0 duplicate
632 2 1 duplicate
633 3 0 duplicate
633 3 1 duplicate
634 0 0 duplicate
634 0 1 duplicate
635 2 0 duplicate
635 1 1 duplicate
636 1 0 duplicate
636 2 1 duplicate
